n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
223	-0.000718	0.005839	-0.002340	-0.000924	0.001295	0.029118	-0.000304	0.004860
224	-0.000868	-0.001665	0.002578	-0.004823	0.001846	0.005119	0.000285	-0.000326
225	0.000782	0.006245	-0.002405	-0.005696	-0.001349	0.020746	-0.000383	0.005576
226	0.000957	-0.000735	0.002703	0.006235	-0.001125	0.021608	0.000306	-0.000834
227	0.000048	0.006330	-0.002482	-0.020031	0.000110	0.033241	-0.000344	0.003782
228	-0.001221	0.003204	0.002877	0.014152	0.002536	-0.013245	0.000212	0.002023
229	-0.000146	0.006028	-0.002599	-0.012799	-0.000079	0.032031	-0.000354	-0.001745
230	0.000991	0.009928	0.003029	0.019121	-0.001059	0.004737	0.000310	0.005117
231	0.000704	0.000992	-0.002717	0.024563	-0.001302	0.020052	-0.000566	-0.000597
232	-0.000963	0.011100	0.003022	0.017911	0.002172	0.044090	0.000309	0.003098
233	-0.000805	-0.006555	-0.002722	0.003788	0.001145	0.014588	-0.000487	0.000625
234	0.000220	0.003409	0.003119	0.015310	-0.000216	0.045017	0.000278	0.001155
235	0.001233	-0.008841	-0.002731	-0.012211	-0.002109	0.007466	-0.000509	-0.003400
236	-0.000237	0.002429	0.003221	0.015496	0.000949	0.025143	0.000169	0.000916
237	-0.001121	-0.006899	-0.002759	-0.001017	0.001687	-0.027947	-0.000503	0.000906
238	-0.000529	0.002218	0.003235	-0.026243	0.001241	0.029556	0.001048	-0.003104
239	0.001080	-0.004369	-0.002687	-0.005547	-0.001909	-0.038482	-0.000438	0.005682
240	0.000480	-0.005219	0.003128	-0.018018	-0.000446	-0.000668	-0.000408	0.000879
241	-0.000551	0.003722	-0.002630	-0.027333	0.001280	0.015140	0.000240	-0.003119
242	-0.001328	-0.004700	0.003124	-0.011217	0.002281	-0.035678	0.000411	0.017085
